popularity,vote_average,vote_count,runtime,release_year,is_drama,is_comedy,is_thriller,is_action,is_romance,is_horror,is_adventure,is_crime,cluster_id
0.1203196003310283,0.6363636363636365,0.1884800655939325,0.1466666666666666,1.0,0,0,1,1,0,0,0,0,1
0.1190597209736171,0.6363636363636365,0.0425335656451778,0.1144444444444444,1.0,1,0,0,0,0,0,0,0,3
0.1182176590593899,0.6623376623376624,0.2029312288613303,0.1333333333333333,1.0,0,0,0,1,0,0,0,1,1
0.1175569787851692,0.6883116883116884,0.1285231116121758,0.1277777777777777,1.0,0,1,0,0,0,0,0,0,2
0.1105977808927978,0.7272727272727273,0.1668545659526494,0.1566666666666666,1.0,1,0,1,0,0,0,0,0,0
0.1104865508681974,0.6103896103896105,0.0604694065798913,0.1144444444444444,1.0,0,1,0,0,0,1,1,0,2
0.1078582905839979,0.8441558441558443,0.1547606846366711,0.13,1.0,1,0,1,0,0,0,0,0,0
0.1018094569349419,0.6103896103896105,0.0475556011068976,0.1122222222222222,1.0,1,0,0,0,0,0,0,1,3
0.1012278109136875,0.6623376623376624,0.1103822896382084,0.1033333333333333,1.0,0,1,0,0,0,0,1,0,2
0.0981426859604426,0.6233766233766234,0.0824023777800553,0.1266666666666666,1.0,1,0,1,1,0,0,0,1,1
0.0978382813060375,0.7532467532467533,0.0762529466024392,0.1233333333333333,1.0,1,0,0,0,1,0,0,0,3
0.0970922003833297,0.8051948051948055,0.0930613918212565,0.1633333333333333,1.0,1,0,0,0,0,0,0,0,3
0.0933871400871977,0.5324675324675325,0.0890642615558061,0.1177777777777777,1.0,0,0,0,1,0,0,1,0,1
0.0933573392929262,0.7012987012987015,0.1050527826176078,0.1355555555555555,1.0,1,0,0,0,0,0,0,0,3
0.0925660569620203,0.7142857142857144,0.1576304191862252,0.1288888888888889,1.0,0,1,0,1,0,0,1,0,1
0.0917302704948065,0.7532467532467533,0.1241160192682177,0.1244444444444444,1.0,1,0,0,0,1,0,0,0,3
0.0916514787711934,0.5714285714285716,0.0395613405759967,0.1077777777777777,1.0,0,0,0,1,0,0,1,0,1
0.0902321666802382,0.7012987012987015,0.1076150456082812,0.1044444444444444,1.0,0,1,0,0,0,0,0,0,2
0.0899841197842774,0.6103896103896105,0.1272932253766526,0.1211111111111111,1.0,1,0,0,0,1,0,0,0,3
0.0888953448855319,0.4935064935064935,0.0482730347442861,0.1022222222222222,1.0,1,0,1,0,0,0,0,1,0
0.0874639972754252,0.6623376623376624,0.0643640463257148,0.1311111111111111,1.0,1,1,1,0,1,0,0,0,3
0.0874066087672299,0.7272727272727273,0.0565747668340678,0.1311111111111111,1.0,1,0,0,0,1,0,0,0,3
0.0853320429963313,0.7272727272727273,0.1276006969355334,0.1344444444444444,1.0,0,1,0,0,0,0,0,0,2
0.0848231860971988,0.6753246753246755,0.1190939838064979,0.1344444444444444,1.0,1,0,0,0,0,0,1,0,3
0.0846800937788249,0.6363636363636365,0.1015681049502921,0.1377777777777777,1.0,1,1,0,0,0,0,0,0,3
0.0792596233676789,0.5194805194805197,0.0507328072153325,0.1266666666666666,1.0,0,0,1,1,0,0,0,1,1
0.0783430139935192,0.6233766233766234,0.0636466126883263,0.1111111111111111,1.0,1,0,0,0,0,0,0,0,3
0.0781809740694285,0.6103896103896105,0.0726657784154965,0.1288888888888889,1.0,0,0,1,0,0,0,0,0,0
0.0780837197988049,0.4935064935064935,0.070308496464077,0.1177777777777777,1.0,0,1,0,0,0,0,1,0,2
0.0775425155471926,0.7532467532467533,0.0878343753202828,0.1333333333333333,1.0,1,0,0,0,0,0,0,0,3
0.0773269069522191,0.4545454545454546,0.0588295582658604,0.1477777777777777,1.0,1,0,1,1,0,0,0,1,1
0.0754200805452108,0.7272727272727273,0.1505585733319668,0.1344444444444444,1.0,1,0,1,1,0,0,0,1,1
0.0753956153967092,0.3766233766233767,0.1593727580198831,0.1111111111111111,1.0,0,0,0,1,0,0,1,0,1
0.0747119251501059,0.5584415584415585,0.0707184585425848,0.1022222222222222,1.0,0,0,0,0,0,1,0,0,0
0.0728924396264102,0.7012987012987015,0.1875576509172901,0.1333333333333333,1.0,0,1,0,1,0,0,0,1,1
0.0726163502739884,0.6753246753246755,0.1866352362406477,0.1166666666666666,1.0,1,1,0,0,1,0,0,1,3
0.0713821183956756,0.5194805194805197,0.0830173208978169,0.1066666666666666,1.0,0,0,1,1,0,0,0,1,1
0.0711143356736001,0.6363636363636365,0.0814799631034129,0.1355555555555555,1.0,1,0,1,1,0,0,1,0,1
0.0706843008142498,0.5064935064935066,0.0276724402992723,0.1066666666666666,1.0,0,0,1,1,0,0,0,1,1
0.0706822089985787,0.7532467532467533,0.1189914932868709,0.1477777777777777,1.0,1,0,0,0,0,0,0,0,3
0.0702609051959428,0.5974025974025974,0.085989545966998,0.1388888888888889,1.0,0,1,0,0,0,0,0,0,2
0.0695957684448575,0.7402597402597404,0.0261350825048683,0.1133333333333333,1.0,1,0,1,0,0,0,0,0,0
0.0691598219325236,0.6753246753246755,0.0624167264528031,0.1455555555555555,1.0,0,0,1,0,0,0,0,1,0
0.0688776996624415,0.5194805194805197,0.0072768268935123,0.1055555555555555,1.0,0,0,1,0,0,0,0,0,0
0.0677417224883341,0.5714285714285716,0.0590345393051142,0.1233333333333333,1.0,0,0,0,0,0,0,1,0,2
0.0656456625535103,0.4675324675324675,0.0017423388336578,0.12,1.0,0,0,0,1,0,0,1,0,1
0.0649202875743299,0.8051948051948055,0.0572922004714563,0.1166666666666666,1.0,1,1,0,0,0,0,0,0,3
0.0648806643412548,0.6363636363636365,0.0414061699292815,0.0977777777777777,1.0,0,1,0,0,0,0,1,0,2
0.0643254237033274,0.7012987012987015,0.0502203546171979,0.1366666666666666,1.0,1,0,0,0,0,0,0,0,3
0.0635489962953035,0.5974025974025974,0.0361791534283078,0.1111111111111111,1.0,0,1,0,0,0,0,0,0,2
0.0630840068929267,0.4285714285714286,0.0474531105872706,0.11,1.0,1,0,1,0,0,1,0,0,0
0.0627739634310603,0.7532467532467533,0.0718458542584811,0.1422222222222222,1.0,1,0,0,0,1,0,0,0,3
0.062454249111236,0.6883116883116884,0.0931638823408834,0.0988888888888888,1.0,0,1,0,0,0,0,0,0,2
0.0623150978948512,0.4935064935064935,0.0103515424823203,0.1188888888888888,1.0,0,1,0,0,0,0,0,0,2
0.0621427201570814,0.6883116883116884,0.0713334016603464,0.1366666666666666,1.0,1,0,1,0,0,0,1,0,0
0.0614383239669507,0.5714285714285716,0.0323870042021113,0.1044444444444444,1.0,1,0,0,1,0,0,0,1,1
0.0606406146081856,0.5974025974025974,0.0856820744081172,0.11,1.0,0,1,0,0,0,0,1,0,2
0.0601613462901406,0.4545454545454546,0.059342010863995,0.1033333333333333,1.0,0,0,1,0,0,1,0,0,0
0.0600252266906706,0.4675324675324675,0.0383314543404735,0.1055555555555555,1.0,0,0,0,0,0,1,0,0,0
0.0594105966773842,0.5324675324675325,0.0128113149533668,0.1122222222222222,1.0,1,0,0,0,1,0,0,0,3
0.0593061574746728,0.5714285714285716,0.0339243619965153,0.1522222222222222,1.0,0,0,1,0,0,0,0,1,0
